Row Labels;BA-C;BA-N;BA-O;BB-T;BM-V;KE-G;KE-U;LC-G;LM-R;LV-L;MT-G;NR-C;NR-P;PB-M;PO-N;PP-F;TT-C;ZA-1;ZV-K
1.7.2022;8814;50548;30127;12280;;11184;9268;8601;6638;;12577;10077;10544;5516;22434;20268;10391;13471;
1.8.2022;9265;58490;34304;13778;;11486;10932;9112;7740;;11080;11460;6230;6526;26280;21641;11469;14661;
1.9.2022;11612;63970;38701,5;14844;;15003;12319;7828;7224;;13550;12561;5907;5844;24210;20402;12263;13450;
1.10.2022;13456;70040;43896,5;16405;;17800;14389;8867;7998;;14079;13594;6122;6108;27582;21034;13147;14758;
1.11.2022;14182;76034;48287,5;19138;;15349;16358;10694;8750;;16252;17655;8225;8155;30616;23476;14907;17792;5100
1.12.2022;19413;113102;60656;28129;;26233;20210;18571;14583;;25289;28134;11766;14195;43976;35712;24773;27574;15208
1.1.2023;12042;70950;41036;14931;;12722;13346;9310;6855;;14449;12545;7204;6663;27677;21004;11796;14212;6145
1.2.2023;11268;65273;39273,5;16072;;10848;12959;7707;6097;;15167;10556;6462;5600;24355;19445;10331;12606;4949
1.3.2023;12243;69622;43183;13435;;11547;14968;8285;6223;;13595;10484;6801;6493;26902;20540;10773;12926;5571
1.4.2023;10586;61624;35954,5;11689;;9547;12614;7757;5669;;11849;9858;6409;5202;22767;17869;9505;10581;5500
1.5.2023;9976;60476;31637;11574;;9543;12715;7205;5108;;10956;8951;5817;4796;21938;17412;9821;10940;4751
1.6.2023;10065;62922;42488;13165;;11246;13484;7692;6343;;11320;9553;6042;6016;24475;20311;10855;12907;6444
1.7.2023;8225;39778;33870;12858;;10121;11335;8733;7859;;11222;12157;5831;7236;22778;20392;10656;13549;6479
1.8.2023;9027;30378;36856,5;13337;;10586;13206;9091;8025;;12014;10607;6326;6344;24924;22107;11048;14227;7166
1.9.2023;10153;66525;38398;14046;;11942;14550;8039;6260;;13215;11208;6550;6019;27360;21578;11509;11913;5255
1.10.2023;12905;77904;44717,5;15339;;11645;15284;9146;7134;;13468;12349;7479;6037;30388;22153;12156;13243;6082
1.11.2023;14498;85540;46378;18295;34573;14024;16233;10782;8959;;16336;15928;7477;7039;32580;23439;13165;16426;7652
1.12.2023;18213;113619;62063,5;29422;52031;26360;22921;18631;16619;12784;26624;26629;12231;13088;47836;37453;25873;19588;15575
1.1.2024;12272;73245;43847,5;15883;25609;12118;15194;9170;6890;9837;14328;11747;5826;6420;29655;21083;11373;13436;6543
1.2.2024;11618;71597;43201;14145;25752;11006;14139;8394;7091;7868;12823;10009;5391;5634;27877;20977;10831;13196;6319
1.3.2024;10799;67415;41715,5;13846;26664;10387;13421;8367;6524;7573;12821;10358;5941;5363;26807;19608;10544;11911;6243
1.4.2024;10274;64449;40162,5;11996;21912;9567;11910;7039;5388;5732;11332;9437;4980;4609;24821;17627;9810;11020;5951
1.5.2024;9148;62171;36365,5;12127;21563;9218;11407;7319;5449;5532;10413;8465;4728;4969;21222;18139;10340;10567;7664
1.6.2024;9453;70114;36843,5;13411;22158;10851;12430;7809;7109;5337;11421;9713;5635;5593;26836;19708;11300;12947;6923
1.7.2024;7907;69097;35807;12543;24906;10337;11167;8323;7803;4774;10800;8404;5481;5948;25176;19195;11428;12659;6197
1.8.2024;8046;75683;36887,5;13283;25502;10437;11876;9264;8530;4192;11468;9409;5874;5900;26488;20793;11539;13290;7798
1.9.2024;9764;80200;39337;13575;22989;11833;13255;7961;6809;4511;12998;11360;6093;5840;30033;18769;11673;13701;6479
1.10.2024;12317;83575;47480,5;15500;26985;11956;14988;8711;7200;5949;13992;11637;6701;6268;32078;21196;12311;26248;6908
1.11.2024;12268;84124;39127;17228;36659;13592;14603;9887;9125;7430;15698;14159;7395;7147;32472;22335;13033;23589;8354
1.12.2024;16278;119218;61943;27417;53622;24058;25727;18368;16304;12124;25185;23461;13615;12258;45835;36400;24445;36124;17038
1.1.2025;10864;75413;42851;14593;27448;11842;14076;8437;7059;6866;13786;10419;6654;6175;29000;20812;10941;20786;6861
1.2.2025;10047;72521;40490;13138;25668;9986;12762;7338;6366;6740;12128;9484;6371;5284;26337;18414;10316;18544;5877
1.3.2025;11023;76650;42576;13964;27255;10785;14019;7224;6597;7113;12839;9849;7321;5175;28717;19167;11066;18721;6863
1.4.2025;8883;64784;36014;11565;24381;8862;11162;6786;5762;4933;9847;8309;5087;4293;22873;15948;9319;15540;5470
